name,exp,predicted_cluster_label,cluster_label
13o5rKbr74wnaSANaMwWWYMhyhNLSXckEz,4.57E-05,0,0
c371eb6820214043060538ef4f79b796607c63f73b9a74bf6a4fdf1c1c63ef19,0.094084967,1,0
1ArG3JwEbF4WrCiEnXQXUAgQumAVzqnQHD,0.003332383,0,0
1697wz4hwVXNqNa7WaAVyLQ8UAdLP3JyNA,4.48E-06,2,0
1GByuTyJ22vmQQbnCjeenMg8jc38EruRwH,0.000143265,2,0
191S2U9goEjsEtn93ZmmaqWg8DVzLBEeRx,0.000143465,2,0
187QAeVKNNp7vZARX8De3KkZGwRkrXA9tt,0.005771234,2,0
c7eb28c30d8b23e0612b1678a2ca1cd879655eda3e9f190ea3f6f67a176e475d,0.000592302,2,0
17fcFGZEHQFysZKxscwrro7L8ek5iUJJuy,4.00E-06,0,0
1JesnRQvEGSXc6WEH6apb2pSEHoT5aUdAt,4.00E-06,0,0
1GgTmTqxMzaSHZ6QQWAUchdL8p1Csf9RzW,4.00E-06,0,0
1FGV4DK8hpxfSKzgCZKcqGVosK8AW1UHVb,4.00E-06,0,0
1Awxsf2rrxcNXKs7LZ4F6kWcqiQQ6DfZHJ,4.00E-06,0,0
1MPkxvk2q7moUpGtb3susNpLYMzkEbGHTk,4.00E-06,0,0
1HJpTzj6We86ii8dfZU8LAS4d2EPzwSpij,4.00E-06,0,0
1ANeJQbuuDxBATkWRaHL378EczzbA1zUyu,3.98E-06,0,0
1DwMTEqjHH2W4nM4RSxRFqmXDWjeFqwco4,3.98E-06,0,0
1EqmnkqcN9MQzPLH8zVMGeJwicENe9PQhz,3.98E-06,0,0
17ntkxB2zw4pxRGxNhbNtPkQ4q52C3rVmm,3.97E-06,0,0
13NiprJfpxzapH8Tur8We435DyHERTtAxx,3.97E-06,0,0
1BasYRJ92LLJQj1rY1KHsmtMfTctVfmArG,3.97E-06,0,0
1FFDQFskAC9mofEsQ3MJAWeRFG94QJsF3s,3.95E-06,0,0
1BeBocgsgqJeQT7jZi8RyAZFDCAhZ6uhYL,3.93E-06,0,0
1F3hTbJhM6XNJbQ5PKzpQXsuhyiNaeV4Ci,3.92E-06,0,0
1HCmLugk1DNjGZbY7PhHFTybc3r7FxfQPJ,3.92E-06,0,0
1ANiaLBdMutnhsCmNEXJQJ2HYqjTX9SFQD,3.92E-06,0,0
1MWmEDAZ8iM78BjXTkAWNW2ahBGFjAsWGu,3.91E-06,0,0
19vPgWWciZXt6DxYBvJqiP1WDWG8V5H5mo,1.55E-05,0,0
17LB7cnHPyXvQGSjDYNZoZFu7J5GWXQBsy,3.90E-06,0,0
1BEE14BzPNwc77eVhkt6ttGdWSty2rfiTX,3.90E-06,0,0
1NvGdS2J7GG79HVXiBFdhCQiswaE9vAjGJ,1.55E-05,0,0
1DoiDRUaMneF4VHjRVgto4fnsbGg8zqhez,3.88E-06,0,0
15iqiTNF1dmizNmTf47vnrfQ5teH1XTkxa,3.88E-06,0,0
1KtzDrav6efrCC4gJuzxvfrw6ZHNRRgGgY,3.88E-06,0,0
12rKFBnou4eCCzPuQDdNobnNCpTNt6j7x3,3.88E-06,0,0
1QAwFqQZEBjyHnNyQp3vPsGZ4Eip5GUWyS,3.88E-06,0,0
1KYY7xvDxKDe262iR3xBLHaBwX1DKf9Pxv,3.87E-06,0,0
1ArFuLxoej3n7P34Nq1Cfic1C3ieXTZf8v,3.86E-06,0,0
1JvmE3c9fLSFmC3De6B9HrHxNiGpiE1WUZ,3.85E-06,0,0
1VQt2LkkzAGJE4r64h3SAA3wMEe35vduQ,3.84E-06,0,0
1P3g7xZhVmC2TTfxtuVxWCTDtzf2w89Rix,3.83E-06,0,0
1H5ppG868MYspbWLfuRSrKc8ev4qNRzgi8,3.83E-06,0,0
1CytbjiYfx62SJbnB1Xs28LTMwS91uxZPM,3.83E-06,0,0
16SMDJzPAHLP9PxGkDkUqy959ygkENhGos,3.82E-06,0,0
14r2Kyn3gBdP12Gx17Qf4BPAq6hbaDa244,3.80E-06,0,0
1BnfV3GmMQwG1Bs8JmUbrxFkGvU25HLKyh,3.77E-06,0,0
188zgBZy5ed7ehAKG7Nuo54toJddgvS9eL,3.76E-06,0,0
1KDDhJLFiqoN2JyTb9aUBWwvKHhvqCEni9,3.76E-06,0,0
15gUvKo4Tvwp2c2xW751VnmCDFkFnqePEs,3.75E-06,0,0
95d36a6926639ba50d02f190d3ca2f9322ce721502d47b32a1e8d8be1b13cb40,0.061810635,2,0
409803bb5e124fd028c0482027c7722e84ce55b78204b279d3a44aba5e7c1698,0.757405137,1,0
1Jkp6RupCtoRvKkAtAh8yRtNJoi8ogMtie,0.009408162,1,0
1Ej4Jm8J83tKG4wUAbikNF3rQoGckH4Emp,0.012500087,1,0
